country,region,region_code,province,province_code,comune,comune_code,population,total_deaths,expected_deaths,excess_deaths,excess_deaths_pct,excess_deaths_per_100,cases_2020_09_01,cases_2020_10_25,second_wave_cases,second_wave_cases_per_100k
Italy,Lombardy,3,Bergamo,16,Onore,16149,908,7,3.4,3.6,1.05882352941177,0.39647577092511,17,17,0,0
Italy,Lombardy,3,Bergamo,16,Orio al Serio,16150,1746,13,4.4,8.6,1.95454545454545,0.492554410080183,23,28,5,286.368843069874
Italy,Lombardy,3,Bergamo,16,Osio Sopra,16152,5300,38,13.6,24.4,1.79411764705882,0.460377358490566,59,72,13,245.283018867925
Italy,Lombardy,3,Bergamo,16,Osio Sotto,16153,12555,88,32.4,55.6,1.71604938271605,0.442851453604142,157,172,15,119.4743130227
Italy,Lombardy,3,Bergamo,16,Pagazzano,16154,2097,12,5.4,6.6,1.22222222222222,0.314735336194564,13,22,9,429.184549356223
Italy,Lombardy,3,Bergamo,16,Paladina,16155,4063,39,9.2,29.8,3.23913043478261,0.733448190991878,86,88,2,49.224710804824
Italy,Lombardy,3,Bergamo,16,Palazzago,16156,4488,18,9.2,8.8,0.956521739130435,0.196078431372549,30,35,5,111.408199643494
Italy,Lombardy,3,Bergamo,16,Palosco,16157,5756,57,15.8,41.2,2.60759493670886,0.715774843641418,79,83,4,69.4927032661571
Italy,Lombardy,3,Bergamo,16,Parre,16158,2725,26,7.2,18.8,2.61111111111111,0.689908256880734,50,54,4,146.788990825688
Italy,Lombardy,3,Bergamo,16,Pedrengo,16160,6022,57,11.4,45.6,4,0.757223513782796,68,71,3,49.8173364330787
Italy,Lombardy,3,Bergamo,16,Peia,16161,1792,27,7.2,19.8,2.75,1.10491071428571,26,27,1,55.8035714285714
Italy,Lombardy,3,Bergamo,16,Piario,16163,1065,7,4.2,2.8,0.666666666666667,0.262910798122066,33,33,0,0
Italy,Lombardy,3,Bergamo,16,Piazza Brembana,16164,1205,10,7,3,0.428571428571429,0.24896265560166,44,48,4,331.95020746888
Italy,Lombardy,3,Bergamo,16,Piazzatorre,16165,387,10,2.4,7.6,3.16666666666667,1.96382428940568,8,8,0,0
Italy,Lombardy,3,Bergamo,16,Pognano,16167,1610,11,3.2,7.8,2.4375,0.484472049689441,21,29,8,496.894409937888
Italy,Lombardy,3,Bergamo,16,Ponte Nossa,16168,1800,13,6.4,6.6,1.03125,0.366666666666667,33,33,0,0
Italy,Lombardy,3,Bergamo,16,Ponte San Pietro,16170,11579,117,39.8,77.2,1.93969849246231,0.666724242162536,160,179,19,164.090163226531
Italy,Lombardy,3,Bergamo,16,Ponteranica,16169,6821,59,17.8,41.2,2.31460674157303,0.604017006304061,101,111,10,146.606069491277
Italy,Lombardy,3,Bergamo,16,Pontida,16171,3377,26,9.4,16.6,1.76595744680851,0.491560556707136,32,36,4,118.448326917382
Italy,Lombardy,3,Bergamo,16,Pontirolo Nuovo,16172,4999,35,12,23,1.91666666666667,0.460092018403681,56,61,5,100.0200040008
Italy,Lombardy,3,Bergamo,16,Pradalunga,16173,4630,58,13.4,44.6,3.32835820895522,0.963282937365011,102,107,5,107.991360691145
Italy,Lombardy,3,Bergamo,16,Predore,16174,1857,21,7.2,13.8,1.91666666666667,0.74313408723748,30,33,3,161.550888529887
Italy,Lombardy,3,Bergamo,16,Premolo,16175,1112,13,4.4,8.6,1.95454545454545,0.773381294964029,19,19,0,0
Italy,Lombardy,3,Bergamo,16,Presezzo,16176,4943,29,10.6,18.4,1.73584905660377,0.372243576775238,66,74,8,161.845033380538
Italy,Lombardy,3,Bergamo,16,Pumenengo,16177,1722,10,5.2,4.8,0.923076923076923,0.278745644599303,18,18,0,0
Italy,Lombardy,3,Bergamo,16,Ranica,16178,5956,47,14,33,2.35714285714286,0.554063129617193,72,85,13,218.267293485561
Italy,Lombardy,3,Bergamo,16,Ranzanico,16179,1229,8,4.2,3.8,0.904761904761905,0.309194467046379,22,22,0,0
Italy,Lombardy,3,Bergamo,16,Riva di Solto,16180,922,11,3.2,7.8,2.4375,0.845986984815618,14,17,3,325.379609544469
Italy,Lombardy,3,Bergamo,16,Rogno,16182,3866,27,8.8,18.2,2.06818181818182,0.470770822555613,49,66,17,439.730988101397
Italy,Lombardy,3,Bergamo,16,Romano di Lombardia,16183,20625,158,50.2,107.8,2.14741035856574,0.522666666666667,223,284,61,295.757575757576
Italy,Lombardy,3,Bergamo,16,Roncola,16185,767,8,1.8,6.2,3.44444444444444,0.808344198174707,7,8,1,130.378096479791
Italy,Lombardy,3,Bergamo,16,Rota d'Imagna,16186,914,11,2.6,8.4,3.23076923076923,0.919037199124727,11,11,0,0
Italy,Lombardy,3,Bergamo,16,Rovetta,16187,4171,37,12.2,24.8,2.0327868852459,0.594581635099496,83,90,7,167.825461520019
Italy,Lombardy,3,Bergamo,16,San Giovanni Bianco,16188,4765,62,16.6,45.4,2.73493975903614,0.952780692549842,93,98,5,104.931794333683
Italy,Lombardy,3,Bergamo,16,San Paolo d'Argon,16189,5824,34,11.2,22.8,2.03571428571429,0.391483516483516,64,69,5,85.8516483516484
Italy,Lombardy,3,Bergamo,16,San Pellegrino Terme,16190,4806,68,21.2,46.8,2.20754716981132,0.97378277153558,89,91,2,41.6146483562214
Italy,Lombardy,3,Bergamo,16,Sant'Omobono Terme,16252,3891,24,15.2,8.8,0.578947368421052,0.226162940118222,34,38,4,102.801336417373
Italy,Lombardy,3,Bergamo,16,Santa Brigida,16191,542,10,4,6,1.5,1.1070110701107,12,12,0,0
Italy,Lombardy,3,Bergamo,16,Sarnico,16193,6756,62,24.4,37.6,1.54098360655738,0.556542332741267,71,84,13,192.421551213736
Italy,Lombardy,3,Bergamo,16,Scanzorosciate,16194,10011,110,38.6,71.4,1.84974093264249,0.71321546299071,163,171,8,79.912096693637
Italy,Lombardy,3,Bergamo,16,Schilpario,16195,1157,22,8.8,13.2,1.5,1.14088159031979,21,24,3,259.291270527226
Italy,Lombardy,3,Bergamo,16,Sedrina,16196,2493,24,8.4,15.6,1.85714285714286,0.62575210589651,40,43,3,120.336943441637
Italy,Lombardy,3,Bergamo,16,Selvino,16197,2035,26,6.4,19.6,3.0625,0.963144963144963,31,32,1,49.1400491400491
Italy,Lombardy,3,Bergamo,16,Seriate,16198,25385,209,64.8,144.2,2.22530864197531,0.568051999212133,333,362,29,114.240693322828
Italy,Lombardy,3,Bergamo,16,Serina,16199,2066,26,10.8,15.2,1.40740740740741,0.735721200387222,32,33,1,48.4027105517909
Italy,Lombardy,3,Bergamo,16,Solto Collina,16200,1794,17,5.2,11.8,2.26923076923077,0.657748049052397,23,26,3,167.224080267559
Italy,Lombardy,3,Bergamo,16,Solza,16251,2039,15,5.2,9.8,1.88461538461538,0.480627758705248,17,22,5,245.218244237371
Italy,Lombardy,3,Bergamo,16,Songavazzo,16201,722,10,2.2,7.8,3.54545454545455,1.0803324099723,21,21,0,0
Italy,Lombardy,3,Bergamo,16,Sorisole,16202,9139,47,21.8,25.2,1.15596330275229,0.275741328372907,102,110,8,87.5369296421928
