comune,comune_code,date,cases
Corte Franca,17062,21/10/2020,93
Corte Palasio,98024,21/10/2020,26
Corteno Golgi,17063,21/10/2020,36
Cortenova,97025,21/10/2020,7
Cortenuova,16083,21/10/2020,24
Corteolona e Genzone,18192,21/10/2020,26
Corvino San Quirico,18057,21/10/2020,7
Corzano,17064,21/10/2020,29
Cosio Valtellino,14024,21/10/2020,41
Costa de' Nobili,18058,21/10/2020,6
Costa di Mezzate,16084,21/10/2020,27
Costa Masnaga,97026,21/10/2020,55
Costa Serina,16247,21/10/2020,14
Costa Valle Imagna,16085,21/10/2020,9
Costa Volpino,16086,21/10/2020,104
Covo,16087,21/10/2020,55
Credaro,16088,21/10/2020,32
Credera Rubbiano,19034,21/10/2020,24
Crema,19035,21/10/2020,620
Cremella,97028,21/10/2020,14
Cremeno,97029,21/10/2020,21
Cremona,19036,21/10/2020,1695
Cremosano,19037,21/10/2020,18
Crespiatica,98025,21/10/2020,20
Crotta d'Adda,19038,21/10/2020,14
Cuasso al Monte,12058,21/10/2020,21
Cucciago,13084,21/10/2020,28
Cuggiono,15096,21/10/2020,54
Cugliate-Fabiasco,12059,21/10/2020,11
Cumignano sul Naviglio,19039,21/10/2020,6
Cunardo,12060,21/10/2020,29
Cura Carpignano,18060,21/10/2020,59
Curno,16089,21/10/2020,102
Curtatone,20021,21/10/2020,131
Cusago,15097,21/10/2020,30
Cusano Milanino,15098,21/10/2020,212
Cusio,16090,21/10/2020,5
Cuveglio,12062,21/10/2020,31
Cuvio,12063,21/10/2020,36
Dairago,15099,21/10/2020,38
Dalmine,16091,21/10/2020,366
Darfo Boario Terme,17065,21/10/2020,250
Daverio,12064,21/10/2020,12
Delebio,14026,21/10/2020,27
Dello,17066,21/10/2020,60
Dervio,97030,21/10/2020,21
Desenzano del Garda,17067,21/10/2020,370
Desio,108023,21/10/2020,540
Dizzasco,13087,21/10/2020,39
Dolzago,97031,21/10/2020,22
Domaso,13089,21/10/2020,11
Dongo,13090,21/10/2020,77
Dorno,18061,21/10/2020,85
Dosolo,20022,21/10/2020,43
Dossena,16092,21/10/2020,19
